0,1,2
"36.843404,-121.40385900000001",2020-03-01,44
"34.190248,-117.357474",2020-03-01,49
"32.88326,-117.112994",2020-03-01,55
"37.759598,-122.438323",2020-03-01,51
"37.931804,-121.29810800000001",2020-03-01,50
"35.342391,-120.667689",2020-03-01,47
"37.56395,-122.34099099999999",2020-03-01,51
"34.639262,-120.092602",2020-03-01,48
"37.315104999999996,-121.910421",2020-03-01,50
"36.985171,-121.936728",2020-03-01,52
"40.580269,-122.29996100000001",2020-03-01,46
"39.612588,-120.41423600000002",2020-03-01,25
"41.576203,-122.489833",2020-03-01,26
"38.235582,-122.069324",2020-03-01,49
"38.41408,-122.720522",2020-03-01,49
"37.619147,-120.955577",2020-03-01,49
"39.135490000000004,-121.644269",2020-03-01,50
"40.115187,-122.218704",2020-03-01,49
"40.681267999999996,-123.07235700000001",2020-03-01,40
"36.251227,-119.23154699999999",2020-03-01,51
"37.971531,-120.32853",2020-03-01,39
"34.241989000000004,-119.02501799999999",2020-03-01,56
"38.598913,-121.721112",2020-03-01,49
"39.13883,-121.506626",2020-03-01,50
"39.874297,-104.92747299999999",2020-03-01,43
"37.483069,-105.877245",2020-03-01,38
"39.647528,-104.845968",2020-03-01,43
"37.240087,-107.085027",2020-03-01,31
"37.368221000000005,-102.527089",2020-03-01,55
"38.072386,-103.1631",2020-03-01,54
"40.063299,-105.183981",2020-03-01,38
"39.936888,-105.05549099999999",2020-03-01,40
"38.676497,-106.082645",2020-03-01,34
"38.816795,-102.45777",2020-03-01,51
"39.712957,-105.52965",2020-03-01,29
"37.195652,-105.989049",2020-03-01,38
"37.281779,-105.448477",2020-03-01,34
"38.188547,-103.857439",2020-03-01,53
"38.134215999999995,-105.381557",2020-03-01,41
"38.798565,-107.91055300000001",2020-03-01,43
"39.72143,-104.955068",2020-03-01,43
"37.740817,-108.75741000000001",2020-03-01,41
"39.48527,-104.87971200000001",2020-03-01,43
"39.599453000000004,-106.717771",2020-03-01,24
"39.382868,-104.51913",2020-03-01,41
"38.873669,-104.758477",2020-03-01,44
"38.426058000000005,-105.20653200000001",2020-03-01,41
"39.507560999999995,-107.53935600000001",2020-03-01,33
"39.85702,-105.48021000000001",2020-03-01,25
"40.050388,-105.9754",2020-03-01,26
"38.657886,-106.944723",2020-03-01,22
"37.996875,-107.29653",2020-03-01,23
"37.616312,-104.884201",2020-03-01,35
"40.692851,-106.291292",2020-03-01,26
"39.720524,-105.128819",2020-03-01,43
"38.470657,-102.68057900000001",2020-03-01,54
"39.309763000000004,-102.435733",2020-03-01,51
"39.245870000000004,-106.30806100000001",2020-03-01,20
"37.265198,-107.806184",2020-03-01,32
"40.504546000000005,-105.099218",2020-03-01,37
"37.196601,-104.503149",2020-03-01,44
"39.173232,-103.613697",2020-03-01,45
"40.639399,-103.187715",2020-03-01,44
"39.092851,-108.543768",2020-03-01,43
"37.798623,-106.93558600000001",2020-03-01,32
"40.515239,-107.625859",2020-03-01,32
